E_mu, beta, sig_y, sig_mu, rho
0.1, 0.9, 0.15, 0.1, -0.5
Y , mu
-0.021808, 0.0854516
0.365375, 0.00332043
-0.0225548, 0.069147
0.111468, 0.0847135
0.198325, 0.195741
0.288539, 0.310777
0.308214, 0.260449
0.206483, 0.229042
0.146711, 0.11214
0.110903, 0.170723
0.217048, 0.258217
0.273665, 0.15406
0.144119, 0.300958
0.488401, 0.396455
0.20333, 0.391714
0.458732, 0.368981
0.699599, 0.265755
0.48236, 0.116361
0.138246, 0.202241
0.245456, 0.0744407
0.189638, 0.16391
0.0294641, 0.258077
0.386765, 0.135771
-0.101783, 0.289084
0.204246, 0.319077
0.374394, 0.338684
0.328183, 0.368355
0.267368, 0.296772
0.26161, 0.317034
0.572954, 0.0913883
0.0478172, 0.120832
0.134186, 0.0674334
-0.23988, 0.222839
0.280784, 0.208169
0.198478, 0.220669
0.421585, 0.270146
0.176592, 0.234912
0.159648, 0.279698
0.16215, 0.235977
0.331259, 0.0773781
-0.312503, 0.267918
0.35908, 0.313485
0.469909, 0.262231
0.122462, 0.155676
0.151141, 0.0447405
0.131598, 0.0201665
-0.0802433, 0.0945682
0.0610569, 0.0651119
0.0779158, 0.138092
-0.0717196, 0.279369
0.562189, 0.0870213
0.0504461, 0.13002
0.329407, 0.011222
-0.141396, 0.129288
0.269727, 0.165878
0.381378, 0.202064
-0.0927835, 0.234982
-0.022, 0.185136
0.351374, 0.0584587
0.178618, 0.0160447
0.0700918, -0.00518475
-0.0805929, 0.108193
-0.0837642, -0.00296979
-0.498244, 0.156503
0.224904, 0.100281
0.0307336, 0.0218726
-0.134091, 0.146035
0.364733, 0.079138
